Cual es el valor de x si 2x + 3 = 7?;x = 2;x = 3;x = 1;x = 0;A
Cual es el perimetro de un cuadrado con lado de 5 cm?;15 cm;20 cm;25 cm;30 cm;B
Cual es la derivada de f(x) = 3x^2?;f'(x) = 6x;f'(x) = 3x;f'(x) = 9x;f'(x) = 0;A
Â¿Cuanto es 10 + 8?;18;23;22;24;A
Cual es la media de los numeros 2, 4, 6 y 8?;6;4;5;7;C
Resolver la ecuacion 3x - 4 = 11;x = 2;x = 5;x = 4;x = 3;B
Cuanto mide cada angulo de un triangulo equilatero?;60 grados;90 grados;45 grados;30 grados;A
Cual es la integral de f(x) = 3x?;1.5x^2 + C;3x^2;x^3 + C;x^2 + C;A
Cuanto es 100 dividido entre 4?;20;30;25;15;C
Si el rango de un conjunto de datos es 10, que significa?;La media es 10;La diferencia entre el maximo y el minimo es 10;La mediana es 10;El conjunto tiene 10 elementos;B
Cual es el valor de y si 3y = 12?;y = 3;y = 4;y = 5;y = 6;B
Cual es el area de un circulo con radio de 3 cm?;9? cm^2;6? cm^2;3? cm^2;12? cm^2;A
Cual es la derivada de f(x) = sin(x)?;f'(x) = cos(x);(x) = -sin(x);f'(x) = -cos(x);f'(x) = tan(x);A
Cuanto es 7 por 8?;56;54;53;55;A
